----START---
     0,   Jupiter,{2e+09 2e+09 0},{0 0 0},{0 0 0}
     0,        Io,{1.5784e+09 2e+09 0},{0 -17320 0},{0 0 0}
     0,    Europa,{2e+09 2.6709e+09 0},{-13740 0 0},{0 0 0}
     0,  Ganymede,{3.0704e+09 2e+09 0},{0 10870 0},{0 0 0}
     0,  Callisto,{2e+09 1.173e+08 0},{8200 0 0},{0 0 0}
   300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
   900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1200,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  1800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  2700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  3900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4200,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4500,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4500,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4500,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4500,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4500,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4800,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4800,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4800,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4800,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  4800,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5100,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5100,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5100,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5100,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5100,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5400,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5400,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5400,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5400,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5400,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5700,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5700,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5700,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5700,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  5700,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6000,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6000,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6000,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6000,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6000,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6300,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6300,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6300,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6300,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6300,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6600,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6600,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6600,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6600,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6600,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6900,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6900,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6900,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6900,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  6900,  Callisto,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7200,   Jupiter,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7200,        Io,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7200,    Europa,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
  7200,  Ganymede,{NaN NaN NaN},{NaN NaN NaN},{NaN NaN NaN}
